Title,Price,Area,Category,Size,Bedrooms,Bathrooms
(NON BUMI) Sri Angsana Hilir Condo Ampang Hilir [1349sqft],RM 298 000,AMPANG,Apartments,1349 sq.ft.,3 Bedrooms,2 Bathrooms
Nuri Court Apartment Padan Indah Ampang Below Market Price,RM 310 000,AMPANG,Apartments,850 sq.ft.,3 Bedrooms,2 Bathrooms
"Ampang, Mutiara Merdeka Condo",RM 620 888,AMPANG,Apartments,1390 sq.ft.,4 Bedrooms,3 Bathrooms
"Nego - menara polo with nice polo club view, furnished",RM 500 000,AMPANG,Apartments,1485 sq.ft.,3 Bedrooms,2 Bathrooms
Tiara Duta Condo 3R2B Taman Dangan Jaya Ampang,RM 380 000,AMPANG,Apartments,957 sq.ft.,3 Bedrooms,2 Bathrooms
Ampang Pandan Cahaya Metro Villa Apartment corner unit for sale,RM 298 000,AMPANG,Apartments,960 sq.ft.,3 Bedrooms,2 Bathrooms
Pandan Utama Apartment For Offer Price,RM 330 000,AMPANG,Apartments,960 sq.ft.,3 Bedrooms,2 Bathrooms
Pandan Utama Apartment For Exclusive Offer Price GRAB IT,RM 350 000,AMPANG,Apartments,960 sq.ft.,3 Bedrooms,2 Bathrooms
"Suria Jelatek Residence , Ampang Hilir, BELOW MARKET PRICE, near LRT",RM 399 000,AMPANG,Apartments,908 sq.ft.,3 Bedrooms,2 Bathrooms
[FULL LOAN] The Element 705sf Ampang Hilir KL City [BELOW MARKET],RM 400 000,AMPANG,Apartments,705 sq.ft.,1 Bedroom,1 Bathroom
M-Suites Jalan Ampang,RM 695 000,AMPANG,Apartments,608 sq.ft.,1 Bedroom,1 Bathroom
Tiara Duta Condo 3R2B Taman Dangan Jaya Ampang,RM 368 000,AMPANG,Apartments,957 sq.ft.,3 Bedrooms,2 Bathrooms
"Taman lembah maju 600 apartment, ampang",RM 280 000,AMPANG,Apartments,926 sq.ft.,3 Bedrooms,2 Bathrooms
"[AFFORDABLE] Suria Jelatek Residence, Ampang hilir",RM 530 000,AMPANG,Apartments,1089 sq.ft.,3 Bedrooms,2 Bathrooms
Ampang - Suria Jelatek Residence - 1420sf - Near LRT - matured area,RM 600 000,AMPANG,Apartments,1420 sq.ft.,3 Bedrooms,2 Bathrooms
"Apartment Bunga Raya Pandan Indah, Ampang, Kuala Lumpur",RM 270 000,AMPANG,Apartments,667 sq.ft.,3 Bedrooms,1 Bathroom
"Menara Polo at Ampang Hilir, Kampung Pandan Indah Desa near KLCC",RM 533 000,AMPANG,Apartments,1485 sq.ft.,3 Bedrooms,2 Bathrooms
Renovated 1089sqft Suria Jelatek Condominium Ampang Hilir,RM 525 000,AMPANG,Apartments,1089 sq.ft.,3 Bedrooms,2 Bathrooms
M City Fully Furnished Jalan Ampang KLCC Ampang Kuala Lumpur,RM 710 000,AMPANG,Apartments,853 sq.ft.,1 Bedroom,1 Bathroom
"The ElementsAmpang, Kuala Lumpur, Fully Furnished",RM 900 000,AMPANG,Apartments,1572 sq.ft.,4 Bedrooms,3 Bathrooms
Sri Ampang Hilir Condominium,RM 400 000,AMPANG,Apartments,1042 sq.ft.,3 Bedrooms,3 Bathrooms
Below Market 30% | Astoria Ampang 747sf,RM 490 000,AMPANG,Apartments,747 sq.ft.,2 Bedrooms,2 Bathrooms
"Impiana Condominium, Jalan Ampang Ulu, Kampung Berembang, 1865sqft",RM 700 000,AMPANG,Apartments,1865 sq.ft.,5 Bedrooms,4 Bathrooms
[STUDIO] Arte Plus Jalan Ampang KL,RM 590 000,AMPANG,Apartments,622 sq.ft.,1 Bedroom,1 Bathroom
"[FREEHOLD & LEVEL 3] RENOVATED 202 DC Desa Cahaya, Jalan Ampang KL",RM 1 000 000,AMPANG,Apartments,1860 sq.ft.,4 Bedrooms,3 Bathrooms
Ampang Boulevard Non-Bumi unit Fully Furnished Near to Ampang park,RM 480 000,AMPANG,Apartments,1117 sq.ft.,3 Bedrooms,2 Bathrooms
"M Suites 3-bedroom Fully Furnished, Jalan Ampang",RM 1 500 000,AMPANG,Apartments,1529 sq.ft.,3 Bedrooms,2 Bathrooms
