State,Seat ID,Seat Name,Candidate Name,Candidate Party,Votes for Candidate,Total Votes Cast,% of total Votes,Candidate Win,Gender,Status,Pekerjaan
Kedah,N.06,JITRA,DATO' AMINUDDIN BIN OMAR (PAK TAM),BN,"8,003","33,919",23.59%,0,L,KLH,TIADA
Kedah,N.07,KUALA NERANG,HJ. MUNIR BIN HJ. ZAKARIA,PAS,"9,118","19,993",45.61%,1,L,MNG,TIADA
Kedah,N.07,KUALA NERANG,PAK TUAN SYED FADZIL,PKR,"3,376","19,993",16.89%,0,L,KLH,PESARA KERAJAAN
Kedah,N.07,KUALA NERANG,DATO' HJ BADROL HISHAM BIN HASHIM,BN,"7,499","19,993",37.51%,0,L,KLH,AHLI MAJLIS MESYUARAT KERAJAAN NEGERI KEDAH
Kedah,N.08,PEDU,HJ MOHD RADZI BIN MD AMIN,PAS,"8,164","18,930",43.13%,1,L,MNG,BERNIAGA
Kedah,N.08,PEDU,HASHIM BIN IDRIS,PKR,"3,272","18,930",17.28%,0,L,KLH,TIADA
Kedah,N.08,PEDU,KAMA NORIAH BINTI IBRAHIM,BN,"7,494","18,930",39.59%,0,P,KLH,TIADA
Kedah,N.09,BUKIT LADA,MOHD AIZAD BIN ROSLAN,PKR,"6,337","24,642",25.72%,0,L,KLH,PENOLONG EKSEKUTIF
Kedah,N.09,BUKIT LADA,DATO' ARIFFIN BIN MAN,BN,"8,288","24,642",33.63%,0,L,KLH,AHLI PERNIAGAAN
Kedah,N.09,BUKIT LADA,DATO' HJ. MOHD. ISMAIL BIN HJ. OTHMAN.,BEBAS - BEG,444,"24,642",1.80%,0,L,HD,BERNIAGA
Kedah,N.09,BUKIT LADA,USTAZ SALIM MAHMOOD AL-HAFIZ,PAS,"9,573","24,642",38.85%,1,L,MNG,TIADA
Kedah,N.10,BUKIT PINANG,DR. MOHAMMAD NAWAR BIN ARIFFIN,BN,"6,289","23,941",26.27%,0,L,KLH,TIADA
Kedah,N.10,BUKIT PINANG,DZAHER AHMAD,PKR,"7,220","23,941",30.16%,0,L,KLH,AHLI PERNIAGAAN
Kedah,N.10,BUKIT PINANG,WAN ROMANI WAN SALIM,PAS,"10,432","23,941",43.57%,1,L,MNG,TIADA
Kedah,N.11,DERGA,DR. CHEAH SOON HAI,BN,"4,916","22,115",22.23%,0,L,KLH,TIADA
Kedah,N.11,DERGA,TUAN HAJI YAHYA SAAD,PAS,"5,967","22,115",26.98%,0,L,KLH,TIADA
Kedah,N.11,DERGA,TAN KOK YEW,PKR,"11,232","22,115",50.79%,1,L,MNG,-
Kedah,N.12,SUKA MENANTI,MOHD SABRI BIN OMAR,PAS,"4,580","24,931",18.37%,0,L,KLH,BERNIAGA
Kedah,N.12,SUKA MENANTI,AHMAD BASHAH BIN MD HANIPAH,BN,"7,050","24,931",28.28%,0,L,KLH,MENTERI BESAR KEDAH
Kedah,N.12,SUKA MENANTI,ZAMRI YUSUF,PKR,"13,301","24,931",53.35%,1,L,MNG,-
Kedah,N.13,KOTA DARUL AMAN,HAJI ZULKIFLI BIN CHE HARON,PAS,"1,732","16,770",10.33%,0,L,HD,PENYELARAS MAPIM ALOR SETAR
Kedah,N.13,KOTA DARUL AMAN,TAN ENG HWA,BN,"3,269","16,770",19.49%,0,L,KLH,PEGUAM
Kedah,N.13,KOTA DARUL AMAN,TEH SWEE LEONG,PKR,"11,737","16,770",69.99%,1,L,MNG,0
Kedah,N.13,KOTA DARUL AMAN,TAN KANG YAP,PRM,32,"16,770",0.19%,0,L,HD,-
Kedah,N.14,ALOR MENGKUDU,USTAZ AHMAD YAHAYA,PAS,"6,964","22,238",31.32%,0,L,KLH,SENDIRI
Kedah,N.14,ALOR MENGKUDU,ABDUL MALIK BIN SAAD,BN,"6,434","22,238",28.93%,0,L,KLH,PESARA
Kedah,N.14,ALOR MENGKUDU,DATO' HJ PHAHROLRAZI ZAWAWI,PKR,"8,840","22,238",39.75%,1,L,MNG,0
Kedah,N.15,ANAK BUKIT,HAMDI HAJI ISHAK,PAS,"8,231","23,241",35.42%,0,L,KLH,PEGUAM SYARIE
Kedah,N.15,ANAK BUKIT,JOHARI BIN AZIZ,BN,"5,200","23,241",22.37%,0,L,KLH,TIADA
Kedah,N.15,ANAK BUKIT,DATO' AMIRUDDIN HAMZAH,PKR,"9,810","23,241",42.21%,1,L,MNG,AHLI PERNIAGAAN
Kedah,N.16,KUBANG ROTAN,USTAZ OMAR BIN SAAD,PAS,"7,303","28,776",25.38%,0,L,KLH,PESARA
Kedah,N.16,KUBANG ROTAN,ABDUL MUTHALIB BIN HARUN,BN,"7,469","28,776",25.96%,0,L,KLH,AHLI PERNIAGAAN
Kedah,N.16,KUBANG ROTAN,ASMIRUL ANUAR B. ARIS,PKR,"14,004","28,776",48.67%,1,L,MNG,0
Kedah,N.17,PENGKALAN KUNDOR,USTAZ DR. AHMAD FAKHRUDDIN BIN FAKHRURAZI,PAS,"9,088","27,190",33.42%,0,L,KLH,TIADA
Kedah,N.17,PENGKALAN KUNDOR,ABDUL HALIM BIN SAID,BN,"6,524","27,190",23.99%,0,L,KLH,AHLI PERNIAGAAN
Kedah,N.17,PENGKALAN KUNDOR,DATO' DR. ISMAIL SALLEH,PKR,"11,578","27,190",42.58%,1,L,MNG,TIADA
