Year,Quarter,Blocks of countries,Category,Countries,Credit RM million,Debit RM million,Net RM million
2011,3Q,Southeast Asia,Total Southeast Asia,Total Country,5147,3507,1640
2011,4Q,East Asia,of which,"China, People's Republic of",317,257,60
2011,4Q,East Asia,of which,"Hong Kong, SAR",2459,1833,626
2011,4Q,East Asia,of which,Japan,3640,2273,1367
2011,4Q,East Asia,of which,"Korea, Republic of",116,341,-224
2011,4Q,East Asia,of which,Taiwan,333,778,-444
2011,4Q,East Asia,Total East Asia,Total Country,6873,5481,1393
2011,4Q,Europe,of which,Denmark,174,48,125
2011,4Q,Europe,of which,France,655,403,252
2011,4Q,Europe,of which,Germany,1707,985,721
2011,4Q,Europe,of which,Luxembourg,337,240,96
2011,4Q,Europe,of which,Netherlands,2121,514,1608
2011,4Q,Europe,of which,Switzerland,999,161,838
2011,4Q,Europe,of which,United Kingdom,786,345,441
2011,4Q,Europe,Total Europe,Total Country,8839,3508,5331
2011,4Q,Latin America,of which,Bermuda,279,64,216
2011,4Q,Latin America,of which,Cayman Islands,815,3863,-3048
2011,4Q,Latin America,of which,Virgin Islands (British),354,489,-135
2011,4Q,Latin America,Total Latin America,Total Country,2316,5107,-2790
2011,4Q,North America,of which,United States,2727,3341,-614
2011,4Q,North America,Total North America,Total Country,2971,3585,-614
2011,4Q,Oceania,of which,Australia,582,187,395
2011,4Q,Oceania,Total Oceania,Total Country,673,213,459
2011,4Q,Other Block of Countries,Total Other Block of Countries,Total Country,692,481,211
2011,4Q,Southeast Asia,of which,Singapore,4347,2558,1789
2011,4Q,Southeast Asia,of which,Thailand,1376,232,1144
2011,4Q,Southeast Asia,Total Southeast Asia,Total Country,6314,3030,3284
2012,1Q,East Asia,of which,"China, People's Republic of",413,206,208
2012,1Q,East Asia,of which,"Hong Kong, SAR",2268,1398,870
2012,1Q,East Asia,of which,Japan,3318,1747,1571
2012,1Q,East Asia,of which,"Korea, Republic of",261,228,33
2012,1Q,East Asia,of which,Taiwan,448,395,53
2012,1Q,East Asia,Total East Asia,Total Country,6712,3980,2732
2012,1Q,Europe,of which,Denmark,56,57,-2
2012,1Q,Europe,of which,France,193,426,-233
2012,1Q,Europe,of which,Germany,1066,488,578
2012,1Q,Europe,of which,Luxembourg,593,39,554
2012,1Q,Europe,of which,Netherlands,1729,1828,-99
2012,1Q,Europe,of which,Switzerland,775,332,443
2012,1Q,Europe,of which,United Kingdom,1047,652,395
2012,1Q,Europe,Total Europe,Total Country,6299,4185,2114
2012,1Q,Latin America,of which,Bermuda,400,39,361
2012,1Q,Latin America,of which,Cayman Islands,1010,77,933
2012,1Q,Latin America,of which,Virgin Islands (British),87,76,11
2012,1Q,Latin America,Total Latin America,Total Country,2518,705,1813
2012,1Q,North America,of which,United States,1870,3894,-2023
2012,1Q,North America,Total North America,Total Country,2160,3950,-1790
2012,1Q,Oceania,of which,Australia,598,414,184
2012,1Q,Oceania,Total Oceania,Total Country,770,433,337
2012,1Q,Other Block of Countries,Total Other Block of Countries,Total Country,2032,348,1684
2012,1Q,Southeast Asia,of which,Singapore,3245,2887,358
2012,1Q,Southeast Asia,of which,Thailand,383,844,-462
2012,1Q,Southeast Asia,Total Southeast Asia,Total Country,5723,4061,1662
2012,2Q,East Asia,of which,"China, People's Republic of",246,839,-594
2012,2Q,East Asia,of which,"Hong Kong, SAR",2571,1995,577
2012,2Q,East Asia,of which,Japan,3257,2031,1226
2012,2Q,East Asia,of which,"Korea, Republic of",755,776,-21
2012,2Q,East Asia,of which,Taiwan,302,320,-18
2012,2Q,East Asia,Total East Asia,Total Country,7145,5966,1179
2012,2Q,Europe,of which,Denmark,-107,51,-158
2012,2Q,Europe,of which,France,534,578,-45
2012,2Q,Europe,of which,Germany,667,412,254
2012,2Q,Europe,of which,Luxembourg,110,125,-16
2012,2Q,Europe,of which,Netherlands,2093,920,1173
2012,2Q,Europe,of which,Switzerland,549,303,246
2012,2Q,Europe,of which,United Kingdom,284,829,-545
2012,2Q,Europe,Total Europe,Total Country,5856,3915,1940
2012,2Q,Latin America,of which,Bermuda,613,21,592
2012,2Q,Latin America,of which,Cayman Islands,132,207,-75
2012,2Q,Latin America,of which,Virgin Islands (British),671,93,578
2012,2Q,Latin America,Total Latin America,Total Country,2668,1040,1628
2012,2Q,North America,of which,United States,3811,3798,14
2012,2Q,North America,Total North America,Total Country,3868,3810,57
2012,2Q,Oceania,of which,Australia,634,590,44
2012,2Q,Oceania,Total Oceania,Total Country,784,611,173
2012,2Q,Other Block of Countries,Total Other Block of Countries,Total Country,1385,634,752
