School stage,State,District Education Office,Year,School type,Sex,Number of pupils
Secondary school,Sarawak,Sri Aman,2017,Academic,Female,2386
Secondary school,Sarawak,Sri Aman,2017,Vocational College,Male,
Secondary school,Sarawak,Sri Aman,2017,Vocational College,Female,
Secondary school,Sarawak,Sri Aman,2018,Academic,Male,2042
Secondary school,Sarawak,Sri Aman,2018,Academic,Female,2291
Secondary school,Sarawak,Sri Aman,2018,Vocational College,Male,
Secondary school,Sarawak,Sri Aman,2018,Vocational College,Female,
Secondary school,Sarawak,Subis,2017,Academic,Male,2112
Secondary school,Sarawak,Subis,2017,Academic,Female,2199
Secondary school,Sarawak,Subis,2017,Vocational College,Male,
Secondary school,Sarawak,Subis,2017,Vocational College,Female,
Secondary school,Sarawak,Subis,2018,Academic,Male,2109
Secondary school,Sarawak,Subis,2018,Academic,Female,2207
Secondary school,Sarawak,Subis,2018,Vocational College,Male,
Secondary school,Sarawak,Subis,2018,Vocational College,Female,
Secondary school,Sarawak,Tatau,2017,Academic,Male,1311
Secondary school,Sarawak,Tatau,2017,Academic,Female,1323
Secondary school,Sarawak,Tatau,2017,Vocational College,Male,
Secondary school,Sarawak,Tatau,2017,Vocational College,Female,
Secondary school,Sarawak,Tatau,2018,Academic,Male,1341
Secondary school,Sarawak,Tatau,2018,Academic,Female,1347
Secondary school,Sarawak,Tatau,2018,Vocational College,Male,
Secondary school,Sarawak,Tatau,2018,Vocational College,Female,
Secondary school,Sabah,Beaufort,2017,Academic,Male,2762
Secondary school,Sabah,Beaufort,2017,Academic,Female,2927
Secondary school,Sabah,Beaufort,2017,Vocational College,Male,493
Secondary school,Sabah,Beaufort,2017,Vocational College,Female,321
Secondary school,Sabah,Beaufort,2018,Academic,Male,2695
Secondary school,Sabah,Beaufort,2018,Academic,Female,2836
Secondary school,Sabah,Beaufort,2018,Vocational College,Male,434
Secondary school,Sabah,Beaufort,2018,Vocational College,Female,269
Secondary school,Sabah,Keningau,2017,Academic,Male,6555
Secondary school,Sabah,Keningau,2017,Academic,Female,6918
Secondary school,Sabah,Keningau,2017,Vocational College,Male,527
Secondary school,Sabah,Keningau,2017,Vocational College,Female,404
Secondary school,Sabah,Keningau,2018,Academic,Male,6382
Secondary school,Sabah,Keningau,2018,Academic,Female,6783
Secondary school,Sabah,Keningau,2018,Vocational College,Male,486
Secondary school,Sabah,Keningau,2018,Vocational College,Female,382
Secondary school,Sabah,Kinabatangan,2017,Academic,Male,1566
Secondary school,Sabah,Kinabatangan,2017,Academic,Female,1625
Secondary school,Sabah,Kinabatangan,2017,Vocational College,Male,
Secondary school,Sabah,Kinabatangan,2017,Vocational College,Female,
Secondary school,Sabah,Kinabatangan,2018,Academic,Male,1568
Secondary school,Sabah,Kinabatangan,2018,Academic,Female,1644
Secondary school,Sabah,Kinabatangan,2018,Vocational College,Male,
Secondary school,Sabah,Kinabatangan,2018,Vocational College,Female,
Secondary school,Sabah,Kota Belud,2017,Academic,Male,4355
Secondary school,Sabah,Kota Belud,2017,Academic,Female,4732
Secondary school,Sabah,Kota Belud,2017,Vocational College,Male,
Secondary school,Sabah,Kota Belud,2017,Vocational College,Female,
Secondary school,Sabah,Kota Belud,2018,Academic,Male,4357
Secondary school,Sabah,Kota Belud,2018,Academic,Female,4704
